actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,0.0
-0.0718885213136673,-0.010935558006167412
-0.07375572621822357,-0.017008798196911812
-0.07562292367219925,-0.023162156343460083
-0.08231135457754135,-0.029541051015257835
-0.08627808094024658,-0.0385679267346859
-0.0882614403963089,-0.04707556590437889
-0.09123647958040237,-0.054980818182229996
-0.09520316869020462,-0.06400573998689651
-0.09851530194282532,-0.07428928464651108
-0.10249559581279755,-0.08475795388221741
-0.10747094452381134,-0.09661704301834106
-0.11344131827354431,-0.10747094452381134
-0.11841660737991333,-0.11344131827354431
-0.12584461271762848,-0.11841660737991333
-0.13289155066013336,-0.12584461271762848
-0.13993841409683228,-0.13289155066013336
-0.14597854018211365,-0.13993841409683228
-0.15403196215629578,-0.14597854018211365
-0.16309194266796112,-0.15403196215629578
-0.15489612519741058,-0.16309194266796112
-0.16214215755462646,-0.15489612519741058
-0.16938813030719757,-0.16214215755462646
-0.17663399875164032,-0.16938813030719757
-0.1838797926902771,-0.17663399875164032
-0.19743956625461578,-0.1838797926902771
-0.20496012270450592,-0.19743956625461578
-0.2124805897474289,-0.20496012270450592
-0.21812087297439575,-0.2124805897474289
-0.22470109164714813,-0.22470109164714813
-0.22936350107192993,-0.22390331327915192
-0.23573365807533264,-0.22936350107192993
-0.24119369685649872,-0.23573365807533264
-0.24574369192123413,-0.24119369685649872
-0.26237788796424866,-0.24574369192123413
-0.2671300768852234,-0.26237788796424866
-0.27093181014060974,-0.2671300768852234
-0.2756839096546173,-0.27093181014060974
-0.2794855535030365,-0.2756839096546173
-0.2832871675491333,-0.2794855535030365
-0.311274915933609,-0.2832871675491333
-0.3153965175151825,-0.311274915933609
-0.3184877038002014,-0.3153965175151825
-0.3195180892944336,-0.3184877038002014
-0.3195180892944336,-0.3195180892944336
-0.26082804799079895,-0.3195180892944336
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.24041633307933807,-0.26082804799079895
-0.24041633307933807,-0.24041633307933807
-0.2396358996629715,-0.24041633307933807
-0.23807501792907715,-0.2396358996629715
-0.23729458451271057,-0.23807501792907715
-0.30644071102142334,-0.23729458451271057
-0.3033873438835144,-0.30644071102142334
-0.1999959945678711,-0.3033873438835144
